Date,Signal,FX_name,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2007-09-21,0.009783546691127798,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-09-24,0.00973961922779646,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-09-25,0.009751873968080887,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-09-26,0.009741282626630135,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-09-27,0.009776351607939451,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-09-28,0.00978134743216268,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-01,0.009776159470806565,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-02,0.009788784025819251,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-03,0.009824455590293346,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-04,0.009837919423850107,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-05,0.009845048043061683,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-08,0.00986801971942576,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-09,0.009905180756424558,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-10,0.009885479885988311,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-11,0.00987526171326795,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-12,0.009881051078354224,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-15,0.009891081649529355,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-16,0.00987731837558901,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-17,0.009866663491772893,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-18,0.009889152080105046,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-19,0.009850370380282462,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-22,0.009886176634995381,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-23,0.009919867091769024,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-24,0.010111185166909049,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-25,0.010100990064434118,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-26,0.01007741247078473,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-29,0.010034702192351341,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-30,0.009969059279596846,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-10-31,0.009995254277224284,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-01,0.010094051019330839,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-02,0.01008884249231285,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-05,0.01004738438997786,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-06,0.010048315983714138,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-07,0.01004744540093085,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-08,0.010088381330461114,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-09,0.010098938767068877,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-12,0.01009832438250195,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-13,0.010132415704405923,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-14,0.010091211923058115,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-15,0.010157066732687443,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-16,0.010134845993602528,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-19,0.010106512703597024,AUD,0.06835,0.0089625,100.089,10000,20000.0,0.1277375,0
2007-11-20,0.010151667433187503,AUD,0.06835,0.0089625,100.089,11277.375,20000.0,0,0.12773750000000006
2007-11-21,0.010253668325424445,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-22,0.010140362608047723,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-23,0.010193870291551138,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-26,0.010280455273163387,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-27,0.010271179939767786,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-28,0.010260022334665346,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-29,0.010271710046650203,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-11-30,0.010121947434055067,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-12-03,0.010113921062711894,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-12-04,0.010120924116366498,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-12-05,0.01004463218742692,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
2007-12-06,0.01005388634585618,AUD,0.071275,0.009000000000000001,94.39,11277.375,22554.75,0.13355,0.12773750000000006
